ip.src	tcp.srcport	ip.dst	tcp.dstport	data.data
192.168.2.2	2200	192.168.1.3	33400	8d811380849b4e47147319d152c74b4c87d48069aad966b673c96d79da3e33076465fbf3c7cd6eb26750ec8e5764f6be21dd24ed1a6eecc4c6d12c6be26cc115e4444e4c385ff60c183d80cb6ac16e70984edd85aa5cdf733b0e440143b38afc5d19b34f2d4d4abd4894a998e83f4cb358d45ccc7374bd0f0e6f35dd68f4f0c72f3d95af33cd7c28c1f9ba25f94df0579c87bda327539de93b214dcbf0891411fa9c38c3aac74359886a759cf1163512be1b4315068a3f9cd66081c628f8457ab0defb5da4c59cf5a8677386e941e98151e2cb22d7e97058e9a27467e7bb949a21e4020ca37bdbf91197d42231e0507db617e80546ec034f2504763f42ae0b57fb7bf8604ac984c411c1a2a21aa7d25f3d9bf8529b7e678107f978323316d1c424c9977d700b84c79dab722550c0894bce5e9cd7cd83520feb70ffc9c6a85b2c9a3a4b8a34910895c1fb8125af9a6c9246d6fa5e585d48e7643edf97dec2216fce561d941bfb4a218fa7a8bf07768353c2ec2f0b8837565a05d23614e9e23281e65114f46f0a151e13472f7ebcc21c6c7d61164d3c279d84950dd66344d3798955d67e218c1cb62f2e15806fb5bc8f3565921ecbae4fb76f54db75a3c109c8818abd2d4c6043089ba332700a1ab249cc3b7840218fd04dfa3af1fe5ddfb5e26d8d657ef278f4d6d3a6327e620265fe92bb852d225d28facd1ae633d613931651c750adf0dd8bed0a12784d84f4ce79d469db5aacbd5ecbd51c3bc8b95e8918476e9c3098a11eebfd500018cbc1bd21b63551c68d8231f2e5aadb450d7821001b63f456aab21abbbd310c249159ad84a182e024a09d7a6455aebf8cb7669847b2b52d09ce2801ec5728fdbb2d800a361d6e05b9d3
192.168.1.3	33400	192.168.2.2	2200	
192.168.2.2	2200	192.168.1.3	33400	b714683d6eaa7f71cd5463c375866836cd0939313c6f670d558f8dd5181b28fbf7797979d63c2165dac7f7e4
192.168.1.3	33400	192.168.2.2	2200	
192.168.1.3	33400	192.168.2.2	2200	6d3da0ed7c518b945a673fd311b6ce641a765a15076e937049f9641b5e456988d235fc24fb5f83ede42dd599b318bb27712cc61431c5976fddab118249c4f5ce5b8aeef5465b1c32b00d64aa4e8efc983a9154f4b28edb2921a7b0b5fdcadec25f209b4ed0e20da6ee5e490bf230b4ab3a016a1979d6245e64c85c208b683b6f
192.168.2.2	2200	192.168.1.3	33400	
192.168.2.2	2200	192.168.1.3	33400	33645c90e7f8c464a8a45fe67aeb8210c19cba44a185bd987e8e62a96637e1f845028ec6832803f9d1573c4c40f82e350b52e03d9a0b6137f64916b6ce28b035a693d84f9b180918
192.168.1.3	33400	192.168.2.2	2200	
192.168.2.2	2200	192.168.1.3	33400	4aaea87bc9456899fee758d38ee62f53810350b1eed1b5f31962d5cf13efcb74a5c670d699bb129fcd95b1596aeba1d3c4f4f0369c3363aeb5451bed6d0ff56cae219c504d8b1f1122b44560b459811f8ae7b542780c60ea78112826c02c4464a5bdb09ac9af794f23ff02a47e2c43248731c22ed53683990db592cf54706a89f80c3b22af0eac431524e389f39dda690408771ee46e829402fafa64fcb0dc421714802a51a1a774ba252f28aef5f6cc8170f25066a25932175b6812bfbff2a0eeab01454191a0641ccdbcbbc7fc66a3101c63bf07a63ee739e818622052588e994307212227f14c746db0d89b612cecc8f31e62115deee54f01d03af6f1edd3ab240294b30ef40088f2f4e7b4b5d6dbb01134407fa5836d8c30d9486077a0ceee13ca8f1ac7c239a5bb0d7414c91d324748ce8d9e42e807b5acdf6a07e6099248eaabd4019cd85658fc0675356e9fba7fd98712ccad64962a13652eed28455e701902f5985892f954458d9ec037a77ebb9d97bbe958ce18ef23e223e1deb30702e10d84228147303db6d1639be520d5c067f5e8756304dc6605de82473784546c300cec07c851c473e264f08a3abe3c2d4e7b08a332b8ae07688dd6a859caad97e004a6fb62c67c299964229924f3ea5b5769b40bf6d21d97de348edaa1218081a7ee26193931f27b94638dabcf7dbbeac9316a44f140ed82c0748cc4e2ff37fc814c678e51aea785563f5d9ba25cfdecc1b6ced9977e1c3b0de1ba6afef7fdefca4d92c500276834f1c400bed28dfea0124f13cf0e6d7642dba3fe1c957a284d0ec6e5e9a4c5c19b0d0616a5c90241871599561f1678ab2e0513b787e71de969817efdb8a92fa647ec43a45029b44d5115d9f86c91bfd4dfd777b711228759af358ebedbe61e9e5d019f6c9b39674c8c01532919796b97095ab35795d3c270dbfa4949eb4932f826445662eace8c3db1e5f09800a10a6c801dfff0a46fa644ada305f226783bdc934cc706e280d3213f026fe47b094149b3eb9e1e6515b53d0c13f40c4d07358989630946031b36ea8563f4bab0335041387a533c8583f4dd6a66f76455e1470582235ac5c13019f1dfcba642ce74719fb099f2a42d28e3a9a71870152185761db561d813781d7601144af8e6994013a93a07287e60e87212c8887370159c53112734f534a4c6bb46307a9c2635eb65a821b7a0d63191dbd66cab6471fe5fb4b0313a90ef7e827a5d7500b970537704f62779ba94a62dbaf52cb29dc8e491903e6f392467a950cb811cca398960dd5ab1dcf437469db7321f1d6e0bec98197fc2f27be22df05b0c72852c9d005265fd9b2699adffcf44ce6c13e7563ee350892e6188d5e903614307e8c3b0b48726de16ced18a20d783b9369e6c0c40bbd972610d4daae5598fa215846ce0eb8c4aecef0cf2d6105b06538075260fc2ebe13446cf5e3fa8917545c176328babf29b65edb2b4eac108dc5ab53b53e3f77ab3703544dd04a218ff065115d5dfb1d6729a4952100ec986c9e25f6581f66ef70cfeb027a16cd6974579d4abca8f6b3791b49d0a4767f6131631025c575701c56ddddf57e61149650a1e7f5199778e7072175e57b40e54a3287786e14b1d886ef4d29ee7ee56d3ad31d4f279f9ad09afb8fdf7c0e7448d7e10c72cc6be04fe6cc5edccdd7ab3c13181b9bc461582ce4a5e89c1d0139c7488713d6bb912122e80f53aa208776acd3044f2ffd03d9ea8d5a3a729452321ff05deb596292483513ff629130ed48f99a89eb11f2408bc27d884c4eed42a5001e58debee40c31443d3e9ee3163e98c921e779cd7571cae2fbefb19ac5ffe6346a537a0d1793a22e300e5f50ffd1a1fe55a1a849c8951436b4043343dae123f488f297aa7cec6b93f4ee1e387a3665263d21fd9b97a2e191f95ec62c3999dd96cff0d3ce77472b6bd47fcb0c7e3c3e8228e515504cef471748fa40248078fa8ff2b7fd340a42591ac083345a9fe2f187186b5a903148aa85ddd36bda957d397ece65e045b6dcc9e11aaea7db6
192.168.2.2	2200	192.168.1.3	33400	e133ac5241cbd431b28d48939925615b6c6edab02b723853ac1e0bcbdae6ade767c029f1d6a12a84fe5fcd75371856a5dee652283f8d90fcb42c8f3297516a8b905d1b49a38299bcdd1fe22e124ad4cbef37e31146953d42f6c43d33635ad0b3ef1702446b4dcbdd204c59dc9fce822a5bea6c77d4bffc3ca76c6278a4ff8ce15a912a99d9396a23f34a0adcd16ecbde1a7abad4100a9fe60b4b60f3c81ebe395d78e713c437561d13257d2ded548e773171a1f9f6f26d96c015f3ed9e326578dec544d07a7704e1fa617447893673b2245e46d67a1059e557f83559a7d9103da5d8fff24e9e9444bfeebe627e68599cc02af2ec302cc02c3c3337a9171f86a3099af50dc87d46589e053bc9fdb3e91f3346d8384dc0b06147136de9a4fe7eb212c45ee9de1c4a03836f3a8f885c256458dbfe4d43bdd06434ad8f3c3604a88a39f29c99514cd4b191d2b98e8bf00f973c3ba2eeb7f57bca4b481a78cd286dedb1165affe4e41ae720136857b5540b58266921ba382eab8047bf94fb454cf30d86d058bb9e12e95753ca14621e7f8cf3ecc2ec948e73299838e95145964b49525402d26260c4aa98d68e931677b6aee81e3a6d3bb1e93826f333fa0daa64ccf93c690d2b0db540f48e30a0e509ae38cefd76a35a14aa689e3b3362232b4c2971e289891f67f8ac826b4d31dda6af5c973f0019e8fbd03d7a6a41e4125cc78249411e2b30fa4197e72ba42610c82156d8e96bd76c87dee65fee58177ef2e638b5133b61e48dbeeded463ff457b22bb5c4027d60574142e092a6ed586dfb1c41aa913268223057c4f71d85bc5e424c8e6dbae9d59a5d492fa119f6a9ca087a91208ed23f216f29da3fd9002b23b7015ef6172843387445fe2175395ed925daca7d2ec623ee2350202cec92c8a85d40c1d6704a9f841466db5b76a5b10e1b668fce4110e30b2453dfbea327ecf41ca3818fbed878ade9c4100624bf8079fdc8803e0452acaaebf2e67d8234bfe7f4157bcaf76772f888812142a71921b9d06c94660046645db0b20dd9dff937bca3c6db9de94d06286763c694430f6ceef266a2cdc2ee5dca097a4240bf912b45775e620136a3ce6d09f33614c62b2d5d52ceb9b33c916c87194201cd1ba5930f92159e03bab6c9242ce869679510cda9f6a7a31c636ac80d611145aa8c557d42bbe89d4d64e36e12b8c3d57c06dcf5be1cae55c1fd788cf7e05a8d40775b7432990c196a9a486f6cd8b16b4fab1c3edfc6185c18a1196d7775595fadf218873ad2432046c7330fad363d57b3a176f420c53b2d546a2685b6a4360f6ad75e5c1765a9fe2abc35e532718e3ffd21e86a57a2f58fc2327299fc343e781da059eec077fad3f8cf8419d3d487041ffd5ad0de73955f82ffccd7a1d0b98db22aa7e58cd9e45971e8d14ead1695e034d7efe9791843de64c75413ca4848db72d320bb4eb5dd35d53a7cb9cd2b99dcdc410e22c88813f9d69e74610509feedaae0caa750c1a5252e15500eab16f3b620808a8aff3bab5f4472b703c05b75d63fc7820f316466bbcc40922bf142c13f1de029ad316e48bab721d4cc9813f3623995e1cdff3063ccce6c0458e6c89b6cfea6a73e9f5e65b7d998ed500dd4bd82aeca68ec72c6f2bbd271ef595edc8bd7c3a4c3321628dfdefdf23f314ba092e6e7d05456b08c3449392fb9819b1efa53d25a57c565988c78dee9847bedc624dddf1fbcc68346e29fba3e1eebdc413923e31837feed93cbb45e380bd7615865dcb0972c83e98e53e8813f9bba7469f5c5f1eb46e86a02aca34580bc9c4634485c84b3a28997a99194e957d00c72d47b441a74a393f5096e1bfef5a3a1ce420994057bf79292976755cb9f3c000e44c1283c933287c5075486b7a263e14ae75892bd207ab840e0f9a2cbf1a02170d49446c32c865bb0ae02a5cd6d69718d9a2bbb8729f83d1aa127d90b5ee2bc2e8472e521d74ed0d7cd9370096027cc2bbfa2ef7ac774b7225936742d66382c2d460ca856cc33064c75a7b508d49eee8dde93f87a
