frame.number	ip.src	tcp.srcport	ip.dst	tcp.dstport
328	192.168.1.3	54082	185.199.110.133	443
329	192.168.1.3	54082	185.199.110.133	443
330	192.168.1.3	54082	185.199.110.133	443
331	185.199.110.133	443	192.168.1.3	54082
332	192.168.1.3	54082	185.199.110.133	443
333	185.199.110.133	443	192.168.1.3	54082
334	185.199.110.133	443	192.168.1.3	54082
335	185.199.110.133	443	192.168.1.3	54082
336	185.199.110.133	443	192.168.1.3	54082
337	185.199.110.133	443	192.168.1.3	54082
338	192.168.1.3	54082	185.199.110.133	443
339	192.168.1.3	54082	185.199.110.133	443
340	192.168.1.3	54082	185.199.110.133	443
341	192.168.1.3	54082	185.199.110.133	443
342	192.168.1.3	54082	185.199.110.133	443
343	185.199.110.133	443	192.168.1.3	54082
344	185.199.110.133	443	192.168.1.3	54082
345	185.199.110.133	443	192.168.1.3	54082
346	192.168.1.3	54082	185.199.110.133	443
347	192.168.1.3	54082	185.199.110.133	443
348	192.168.1.3	54082	185.199.110.133	443
349	185.199.110.133	443	192.168.1.3	54082
350	185.199.110.133	443	192.168.1.3	54082
351	185.199.110.133	443	192.168.1.3	54082
352	185.199.110.133	443	192.168.1.3	54082
353	192.168.1.3	54082	185.199.110.133	443
354	192.168.1.3	54082	185.199.110.133	443
355	192.168.1.3	54082	185.199.110.133	443
356	192.168.1.3	54082	185.199.110.133	443
357	185.199.110.133	443	192.168.1.3	54082
358	185.199.110.133	443	192.168.1.3	54082
359	185.199.110.133	443	192.168.1.3	54082
360	185.199.110.133	443	192.168.1.3	54082
361	185.199.110.133	443	192.168.1.3	54082
362	192.168.1.3	54082	185.199.110.133	443
363	192.168.1.3	54082	185.199.110.133	443
364	192.168.1.3	54082	185.199.110.133	443
365	192.168.1.3	54082	185.199.110.133	443
366	192.168.1.3	54082	185.199.110.133	443
367	185.199.110.133	443	192.168.1.3	54082
368	185.199.110.133	443	192.168.1.3	54082
369	185.199.110.133	443	192.168.1.3	54082
370	185.199.110.133	443	192.168.1.3	54082
371	185.199.110.133	443	192.168.1.3	54082
372	185.199.110.133	443	192.168.1.3	54082
373	185.199.110.133	443	192.168.1.3	54082
374	185.199.110.133	443	192.168.1.3	54082
375	185.199.110.133	443	192.168.1.3	54082
376	192.168.1.3	54082	185.199.110.133	443
377	192.168.1.3	54082	185.199.110.133	443
378	192.168.1.3	54082	185.199.110.133	443
379	192.168.1.3	54082	185.199.110.133	443
380	192.168.1.3	54082	185.199.110.133	443
381	192.168.1.3	54082	185.199.110.133	443
382	192.168.1.3	54082	185.199.110.133	443
383	192.168.1.3	54082	185.199.110.133	443
384	192.168.1.3	54082	185.199.110.133	443
385	185.199.110.133	443	192.168.1.3	54082
386	185.199.110.133	443	192.168.1.3	54082
387	185.199.110.133	443	192.168.1.3	54082
388	192.168.1.3	54082	185.199.110.133	443
389	192.168.1.3	54082	185.199.110.133	443
390	192.168.1.3	54082	185.199.110.133	443
391	185.199.110.133	443	192.168.1.3	54082
392	185.199.110.133	443	192.168.1.3	54082
393	185.199.110.133	443	192.168.1.3	54082
394	185.199.110.133	443	192.168.1.3	54082
395	185.199.110.133	443	192.168.1.3	54082
396	192.168.1.3	54082	185.199.110.133	443
397	192.168.1.3	54082	185.199.110.133	443
398	192.168.1.3	54082	185.199.110.133	443
399	192.168.1.3	54082	185.199.110.133	443
400	192.168.1.3	54082	185.199.110.133	443
401	185.199.110.133	443	192.168.1.3	54082
402	185.199.110.133	443	192.168.1.3	54082
403	185.199.110.133	443	192.168.1.3	54082
404	185.199.110.133	443	192.168.1.3	54082
405	185.199.110.133	443	192.168.1.3	54082
406	185.199.110.133	443	192.168.1.3	54082
407	185.199.110.133	443	192.168.1.3	54082
408	185.199.110.133	443	192.168.1.3	54082
409	185.199.110.133	443	192.168.1.3	54082
410	192.168.1.3	54082	185.199.110.133	443
411	192.168.1.3	54082	185.199.110.133	443
412	192.168.1.3	54082	185.199.110.133	443
413	192.168.1.3	54082	185.199.110.133	443
414	192.168.1.3	54082	185.199.110.133	443
415	192.168.1.3	54082	185.199.110.133	443
416	192.168.1.3	54082	185.199.110.133	443
417	192.168.1.3	54082	185.199.110.133	443
418	192.168.1.3	54082	185.199.110.133	443
419	185.199.110.133	443	192.168.1.3	54082
420	185.199.110.133	443	192.168.1.3	54082
421	185.199.110.133	443	192.168.1.3	54082
422	185.199.110.133	443	192.168.1.3	54082
423	185.199.110.133	443	192.168.1.3	54082
424	185.199.110.133	443	192.168.1.3	54082
425	192.168.1.3	54082	185.199.110.133	443
426	192.168.1.3	54082	185.199.110.133	443
427	192.168.1.3	54082	185.199.110.133	443
428	192.168.1.3	54082	185.199.110.133	443
429	192.168.1.3	54082	185.199.110.133	443
430	192.168.1.3	54082	185.199.110.133	443
431	185.199.110.133	443	192.168.1.3	54082
432	185.199.110.133	443	192.168.1.3	54082
433	185.199.110.133	443	192.168.1.3	54082
434	192.168.1.3	54082	185.199.110.133	443
435	192.168.1.3	54082	185.199.110.133	443
436	192.168.1.3	54082	185.199.110.133	443
437	185.199.110.133	443	192.168.1.3	54082
438	185.199.110.133	443	192.168.1.3	54082
439	185.199.110.133	443	192.168.1.3	54082
440	192.168.1.3	54082	185.199.110.133	443
441	192.168.1.3	54082	185.199.110.133	443
442	192.168.1.3	54082	185.199.110.133	443
443	185.199.110.133	443	192.168.1.3	54082
444	185.199.110.133	443	192.168.1.3	54082
445	185.199.110.133	443	192.168.1.3	54082
446	185.199.110.133	443	192.168.1.3	54082
447	185.199.110.133	443	192.168.1.3	54082
448	185.199.110.133	443	192.168.1.3	54082
449	185.199.110.133	443	192.168.1.3	54082
450	192.168.1.3	54082	185.199.110.133	443
451	192.168.1.3	54082	185.199.110.133	443
452	192.168.1.3	54082	185.199.110.133	443
453	192.168.1.3	54082	185.199.110.133	443
454	192.168.1.3	54082	185.199.110.133	443
455	192.168.1.3	54082	185.199.110.133	443
456	192.168.1.3	54082	185.199.110.133	443
457	185.199.110.133	443	192.168.1.3	54082
458	185.199.110.133	443	192.168.1.3	54082
459	185.199.110.133	443	192.168.1.3	54082
460	185.199.110.133	443	192.168.1.3	54082
461	185.199.110.133	443	192.168.1.3	54082
462	185.199.110.133	443	192.168.1.3	54082
463	185.199.110.133	443	192.168.1.3	54082
464	185.199.110.133	443	192.168.1.3	54082
465	192.168.1.3	54082	185.199.110.133	443
466	192.168.1.3	54082	185.199.110.133	443
467	192.168.1.3	54082	185.199.110.133	443
468	192.168.1.3	54082	185.199.110.133	443
469	192.168.1.3	54082	185.199.110.133	443
470	192.168.1.3	54082	185.199.110.133	443
471	192.168.1.3	54082	185.199.110.133	443
472	192.168.1.3	54082	185.199.110.133	443
473	185.199.110.133	443	192.168.1.3	54082
474	185.199.110.133	443	192.168.1.3	54082
475	185.199.110.133	443	192.168.1.3	54082
476	192.168.1.3	54082	185.199.110.133	443
477	192.168.1.3	54082	185.199.110.133	443
478	192.168.1.3	54082	185.199.110.133	443
479	185.199.110.133	443	192.168.1.3	54082
480	185.199.110.133	443	192.168.1.3	54082
481	192.168.1.3	54082	185.199.110.133	443
482	192.168.1.3	54082	185.199.110.133	443
483	185.199.110.133	443	192.168.1.3	54082
484	185.199.110.133	443	192.168.1.3	54082
485	185.199.110.133	443	192.168.1.3	54082
486	185.199.110.133	443	192.168.1.3	54082
487	185.199.110.133	443	192.168.1.3	54082
488	185.199.110.133	443	192.168.1.3	54082
489	192.168.1.3	54082	185.199.110.133	443
490	192.168.1.3	54082	185.199.110.133	443
491	192.168.1.3	54082	185.199.110.133	443
492	192.168.1.3	54082	185.199.110.133	443
