ip.src	udp.srcport	ip.dst	udp.dstport	dns.qry.name	dns.qry.type
192.168.2.2	53	192.168.1.3	57107	dnscat.93a801969a07fd5def	16
192.168.1.3	57107	192.168.2.2	53	dnscat.219b01f6e3911cb25d	16
192.168.2.2	53	192.168.1.3	57107	dnscat.219b01f6e3911cb25d	16
192.168.1.3	57107	192.168.2.2	53	dnscat.464801969a07fd5def	16
192.168.2.2	53	192.168.1.3	57107	dnscat.464801969a07fd5def	16
192.168.1.3	57107	192.168.2.2	53	dnscat.736a01f6e3911cb25d	16
192.168.2.2	53	192.168.1.3	57107	dnscat.736a01f6e3911cb25d	16
192.168.1.3	57107	192.168.2.2	53	dnscat.308601969a07fd5def	15
192.168.2.2	53	192.168.1.3	57107	dnscat.308601969a07fd5def	15
192.168.1.3	57107	192.168.2.2	53	dnscat.9a6201f6e3911cb25d	16
192.168.2.2	53	192.168.1.3	57107	dnscat.9a6201f6e3911cb25d	16
192.168.1.3	57107	192.168.2.2	53	dnscat.fbbf01969a07fd5def	15
192.168.2.2	53	192.168.1.3	57107	dnscat.fbbf01969a07fd5def	15
192.168.1.3	57107	192.168.2.2	53	dnscat.cc4201f6e3911cb25d	15
192.168.2.2	53	192.168.1.3	57107	dnscat.cc4201f6e3911cb25d	15
192.168.1.3	57107	192.168.2.2	53	dnscat.a7b301969a07fd5def	16
192.168.2.2	53	192.168.1.3	57107	dnscat.a7b301969a07fd5def	16
192.168.1.3	57107	192.168.2.2	53	dnscat.08a101f6e3911cb25d	5
192.168.2.2	53	192.168.1.3	57107	dnscat.08a101f6e3911cb25d	5
192.168.1.3	57107	192.168.2.2	53	dnscat.fd5401969a07fd5def	5
192.168.2.2	53	192.168.1.3	57107	dnscat.fd5401969a07fd5def	5
192.168.1.3	57107	192.168.2.2	53	dnscat.518e01f6e3911cb25d	5
192.168.2.2	53	192.168.1.3	57107	dnscat.518e01f6e3911cb25d	5
192.168.1.3	57107	192.168.2.2	53	dnscat.83f601969a07fd5def	16
192.168.2.2	53	192.168.1.3	57107	dnscat.83f601969a07fd5def	16
